icao,name,lat,lon,elevation_ft,type
K0C0,Dacy Airport,42.4025,-88.632401,913,small_airport
K0C4,Pender Municipal Airport,42.113899,-96.728107,1345,small_airport
K0D8,Gettysburg Municipal Airport,44.986698,-99.952797,2062,small_airport
K0E0,Moriarty Municipal Airport,34.9751,-106.0028,6199,small_airport
K0E8,Crownpoint Airport,35.717701,-108.202003,6696,small_airport
K0F2,Bowie Municipal Airport,33.6017,-97.775597,1101,small_airport
K0F4,Loup City Municipal Airport,41.286449,-98.989745,2071,small_airport
K0F7,Fountainhead Lodge Airpark,35.388699,-95.600238,670,small_airport
K0F9,Tishomingo Airpark,34.198502,-96.6745,647,small_airport
K0G3,Tecumseh Municipal Airport,40.400849,-96.170406,1306,small_airport
K0G6,Williams County Airport,41.4674,-84.506599,730,small_airport
K0G7,Finger Lakes Regional Airport,42.883598,-76.782246,492,small_airport
K0H1,Trego WaKeeney Airport,39.004501,-99.892899,2435,small_airport
K0I8,Cynthiana-Harrison County Airport,38.366199,-84.283302,721,small_airport
K0J4,Florala Municipal Airport,31.0425,-86.3116,314,small_airport
K0J6,Headland Municipal Airport,31.3643,-85.311798,359,small_airport
K0J9,Flying V Airport,40.867802,-97.354011,1585,small_airport
K0K7,Humboldt Municipal Airport,42.734831,-94.245315,1093,small_airport
K0L7,Jean Airport,35.768299,-115.330002,2832,small_airport
K0L9,Echo Bay Airport,36.3111,-114.463997,1535,small_airport
K0M0,Billy Free Municipal Airport,33.8848,-91.5345,163,small_airport
K0M2,Reelfoot Lake Airport,36.4753,-89.346199,289,small_airport
K0M3,Paul Bridges Field,35.546001,-87.597298,972,small_airport
K0M4,Benton County Airport,36.011101,-88.123299,468,small_airport
K0M5,Humphreys County Airport,36.1166,-87.738197,756,small_airport
K0M8,Byerley Airport,32.825901,-91.187698,106,small_airport
K0M9,Delhi Municipal Airport,32.410702,-91.498703,91,small_airport
K0O2,Baker Airport,35.287128,-116.081657,922,small_airport
K0Q5,Shelter Cove Airport,40.028167,-124.074305,73,small_airport
K0R0,Columbia-Marion County Airport,31.297001,-89.812798,265,small_airport
K0R1,Atmore Municipal Airport,31.016199,-87.4468,287,small_airport
K0R3,Abbeville Chris Crusta Memorial Airport,29.97579956,-92.084198,16,small_airport
K0R4,Concordia Parish Airport,31.562000274658203,-91.50650024414062,54,small_airport
K0R5,David G Joyce Airport,31.963699,-92.660301,146,small_airport
K0R6,Hampton Municipal Airport,33.52259826660156,-92.46029663085938,178,small_airport
K0S0,Lind Airport,46.976799,-118.586998,1507,small_airport
K0S7,Dorothy Scott Airport,48.959,-119.412003,1064,small_airport
K0S9,Jefferson County International Airport,48.0537986755,-122.810997009,108,small_airport
K0V3,Pioneer Village Field,40.515527,-98.946216,2160,small_airport
K0V4,Brookneal/Campbell County Airport,37.141701,-79.016403,596,small_airport
K0V7,Kayenta Airport,36.716444,-110.228444,5688,small_airport
K0VG,Lee County Airport,36.654099,-83.217796,1411,small_airport
K0W3,Harford County Airport,39.566799,-76.2024,409,small_airport
K10C,Galt Field,42.402735,-88.376942,875,small_airport
K10G,Holmes County Airport,40.537201,-81.954399,1218,small_airport
K10U,Owyhee Airport,41.953604,-116.182155,5374,small_airport
K11,Sam Riggs Airpark,36.218201,-95.651901,580,small_airport
K11A,Clayton Municipal Airport,31.883301,-85.484901,435,small_airport
K11R,Brenham Municipal Airport,30.219,-96.374298,307,small_airport
K11V,Easton/Valley View Airport,40.328815,-104.614563,4820,small_airport
K12D,Tower Municipal Airport,47.818154,-92.286099,1369,small_airport
K12G,Shelby Community Airport,40.872898,-82.697403,1120,small_airport
K12J,Brewton Municipal Airport,31.0506,-87.065598,99,small_airport
K12K,Superior Municipal Airport,40.0463981628418,-98.06009674072266,1691,small_airport
K12N,Aeroflex-Andover Airport,41.008598,-74.737999,583,small_airport
K12V,Ona Airpark,38.44089889526367,-82.20079803466797,572,small_airport
K12Y,Le Sueur Municipal Airport,44.441071,-93.916283,868,small_airport
K13C,Lakeview-Airport-Griffith Field,43.452099,-85.264801,969,small_airport
K13K,Eureka Municipal Airport,37.851601,-96.291702,1206,small_airport
K14A,Lake Norman Airpark,35.612998962402344,-80.89939880371094,839,small_airport
K14F,Hamlin Airport,32.849674,-100.136648,1753,small_airport
K14G,Fremont Airport,41.333099,-83.161201,663,small_airport
K14J,Carl Folsom Airport,31.41,-86.090302,258,small_airport
K14M,Hollandale Municipal Airport,33.182598,-90.830704,114,small_airport
K14Y,Todd Field,45.898602,-94.873901,1333,small_airport
K15F,Haskell Municipal Airport,33.19150161743164,-99.71790313720703,1625,small_airport
K15J,Cook County Airport,31.1378,-83.4533,236,small_airport
K15M,Iuka Airport,34.772300720214844,-88.16590118408203,630,small_airport
K16D,Perham Municipal Airport,46.610828,-95.60586,1371,small_airport
K16G,Seneca County Airport,41.094101,-83.212502,786,small_airport
K16J,Dawson Municipal Airport,31.743299,-84.419296,333,small_airport
K17,Montezuma Municipal Airport,37.583407,-100.469885,2780,small_airport
K17G,Port Bucyrus-Crawford County Airport,40.781803,-82.974408,1003,small_airport
K17J,Donalsonville Municipal Airport,31.006901,-84.877602,148,small_airport
K17K,Boise City Airport,36.7743,-102.510002,4178,small_airport
K17M,Magee Municipal Airport,31.862699508666992,-89.80059814453125,555,small_airport
K17N,Cross Keys Airport,39.705502,-75.032997,162,small_airport
K17V,Haxtun Municipal Airport,40.627519,-102.600911,4035,small_airport
K18A,Franklin County Airport,34.340099,-83.133499,890,small_airport
K18I,McCreary County Airport,36.695525,-84.391345,1370,small_airport
K18V,Platte Valley Airpark,40.099998,-104.700996,4965,small_airport
K19A,Jackson County Airport,34.174,-83.560699,951,small_airport
K19M,C. A. Moore Airport,33.1255,-90.025597,340,small_airport
K19N,Pine Valley Airport,39.7784,-74.9478,149,small_airport
K19S,Sublette Municipal Airport,37.497018,-100.834343,2908,small_airport
K1A0,Dallas Bay Sky Park Airport,35.18797,-85.176755,690,small_airport
K1A3,Martin Campbell Field,35.016201,-84.346298,1790,small_airport
K1A4,Logan Field,31.103788,-86.06248,200,small_airport
K1A5,Macon County Airport,35.222599029541016,-83.41899871826172,2020,small_airport
K1A6,Middlesboro-Bell County Airport,36.610257,-83.737385,1154,small_airport
K1A7,Jackson County Airport,36.395864,-85.641346,515,small_airport
K1A9,Prattville - Grouby Field,32.438702,-86.512703,225,small_airport
K1B0,Dexter Regional Airport,45.004101,-69.237,533,small_airport
K1B1,Columbia County Airport,42.291302,-73.710297,198,small_airport
K1B2,Katama Airpark,41.358299,-70.524399,18,small_airport
K1B6,Hopedale Industrial Park Airport,42.106499,-71.510101,269,small_airport
K1B9,Mansfield Municipal Airport,42.000099182099994,-71.1968002319,122,small_airport
K1BT,Bonne Terre Municipal Airport,37.919055,-90.57525,922,small_airport
K1C1,Paxton Airport,40.449001,-88.127701,779,small_airport
K1C5,Bolingbrook's Clow International Airport,41.695999145500004,-88.12920379639999,670,small_airport
K1D1,Milbank Municipal Airport,45.23049927,-96.56600189,1118,small_airport
K1D3,Platte Municipal Airport,43.404665,-98.830453,1618,small_airport
K1D7,The Sigurd Anderson Airport,45.292611,-97.511359,1854,small_airport
K1D8,Redfield Municipal Airport,44.856176,-98.531284,1307,small_airport
K1F0,Ardmore Downtown Executive Airport,34.1469993591,-97.1227035522,844,small_airport
K1F4,Madill Municipal Airport,34.14039993286133,-96.81199645996094,890,small_airport
K1F5,Hoxie-Sheridan County Airport,39.367176,-100.441338,2733,small_airport
K1G0,Wood County Airport,41.390999,-83.630096,673,small_airport
K1G1,Elyria Airport,41.33150100708008,-82.10030364990234,758,small_airport
K1G3,Kent State University Airport,41.151402,-81.4151,1134,small_airport
K1G4,Grand Canyon West Airport,35.985787,-113.817072,4825,small_airport
K1G5,Medina Municipal Airport,41.13189,-81.767368,1190,small_airport
K1H0,Creve Coeur Airport,38.726799,-90.508301,463,small_airport
K1H2,Effingham County Memorial Airport,39.0704,-88.533501,587,small_airport
K1H3,State Technical College of Missouri Airport,38.471583,-91.817293,952,small_airport
K1H5,Willow Springs Memorial Airport,36.989601135253906,-91.9541015625,1247,small_airport
K1H8,Casey Municipal Airport,39.302502,-88.004097,654,small_airport
K1I5,Freehold Airport,42.3643,-74.066002,440,small_airport
K1J0,Tri-County Airport,30.843879,-85.601773,85,small_airport
K1K2,Lindsay Municipal Airport,34.849300384521484,-97.58529663085938,968,small_airport
K1K4,David Jay Perry Airport,35.155102,-97.470398,1168,small_airport
K1K7,Fredonia Airport,37.580518,-95.837184,880,small_airport
K1K9,Satanta Municipal Airport,37.456667,-100.984664,2976,small_airport
K1L0,Port of South Louisiana Executive Regional Airport,30.087,-90.582602,7,small_airport
K1L1,Lincoln County Airport,37.787122,-114.420044,4828,small_airport
K1L3,Searchlight Airport,35.444400787353516,-114.90899658203125,3410,small_airport
K1L7,Escalante Municipal Airport,37.74530029296875,-111.56999969482422,5733,small_airport
K1L8,General Dick Stout Field,37.138901,-113.306,3347,small_airport
K1L9,Parowan Airport,37.85969924926758,-112.81600189208984,5930,small_airport
K1M2,Belzoni Municipal Airport,33.145207,-90.51526,110,small_airport
K1M4,Posey Field,34.2803,-87.600403,930,small_airport
K1M5,Portland Municipal Airport,36.592681,-86.476936,818,small_airport
K1M9,Lake Barkley State Park Airport,36.8177986145,-87.90750122070001,570,small_airport
K1MO,Mountain Grove Memorial Airport,37.12070083618164,-92.31120300292969,1476,small_airport
K1N1,Sandia Airpark Estates East Airport,35.094501,-106.167,6550,small_airport
K1N7,Blairstown Airport,40.9711,-74.997498,372,small_airport
K1O1,Grandfield Municipal Airport,34.23759841918945,-98.74199676513672,1128,small_airport
K1O2,Lampson Field,38.9906005859,-122.901000977,1379,small_airport
K1O3,Lodi Airport,38.20240021,-121.2679977,60,small_airport
K1O4,Thomas Municipal Airport,35.733455,-98.730575,1731,small_airport
K1O5,Montague-Yreka Rohrer Field,41.7304000854,-122.54599762,2527,small_airport
K1O8,Tipton Municipal Airport,34.45859909057617,-99.17130279541016,1248,small_airport
K1Q2,Spalding Airport,40.650169,-120.768524,5116,small_airport
K1Q4,New Jerusalem Airport,37.6791,-121.300003,62,small_airport
K1R1,Jena Airport,31.666903,-92.157722,212,small_airport
K1R4,Woodworth Airport,31.126399993896484,-92.50140380859375,140,small_airport
K1R7,Brookhaven-Lincoln County Airport,31.605801,-90.409302,489,small_airport
K1R8,Bay Minette Municipal Airport,30.870321,-87.819298,248,small_airport
K1S3,Tillitt Field,46.271099,-106.624001,2727,small_airport
K1S5,Sunnyside Municipal Airport,46.32709885,-119.9700012,768,small_airport
K1S9,Chewelah Municipal  Airport,48.314098,-117.742995,2084,small_airport
K1T7,Kestrel Airpark,29.811536,-98.425777,1250,small_airport
K1U2,Mud Lake/West Jefferson County/ Airport,43.848201751699996,-112.499000549,4787,small_airport
K1U7,Bear Lake County Airport,42.2472,-111.337997,5928,small_airport
K1V0,Navajo Lake Airport,36.808168,-107.653077,6475,small_airport
K1V2,Grant County Airport,42.010036,-101.77007,3710,small_airport
K1V6,Fremont County Airport,38.429739,-105.108562,5439,small_airport
K1V8,Leach Airport,37.785399,-106.047632,7598,small_airport
K1X1,Higgins-Lipscomb County Airport,36.1059,-100.0257,2566,small_airport
K20A,Robbins Field,33.971183,-86.380518,1140,small_airport
K20M,Macon Municipal Airport,33.13349914550781,-88.53559875488281,238,small_airport
K20N,Kingston-Ulster Airport,41.985298,-73.964104,149,small_airport
K20R,Crystal City Municipal Airport,28.697799682617188,-99.81780242919922,608,small_airport
K20U,Beach Airport,46.925201,-103.982002,2756,small_airport
K20V,McElroy Airfield,40.05341,-106.369078,7411,small_airport
K21D,Lake Elmo Airport,44.99750137,-92.85569763,933,small_airport
K21F,Jacksboro Municipal Airport,33.228699,-98.146698,1055,small_airport
K22F,Kent County Airport,33.2293014526,-100.569000244,2006,small_airport
K22I,Vinton County Airport,39.328098,-82.441803,958,small_airport
K22M,Pontotoc County Airport,34.275901794433594,-89.03839874267578,440,small_airport
K22N,Jake Arner Memorial Airport,40.809502,-75.761497,534,small_airport
K22S,Paisley Airport,42.717899322509766,-120.56300354003906,4395,small_airport
K23,Cooperstown-Westville Airport,42.629552,-74.890445,1260,small_airport
K23M,Clarke County Airport,32.0849,-88.738897,320,small_airport
K23R,Devine Municipal Airport,29.138399124145508,-98.94190216064453,703,small_airport
K24A,Jackson County Airport,35.31740188598633,-83.20989990234375,2857,small_airport
K24F,Cypress River Airport,32.74599838256836,-94.30439758300781,221,small_airport
K24J,Suwannee County Airport,30.3001,-83.024696,104,small_airport
K24N,Jicarilla Apache Nation Airport,36.82849884033203,-106.88400268554688,7618,small_airport
K24R,Dilley Airpark,28.68549919128418,-99.18920135498047,542,small_airport
K25D,Forest Lake Airport,45.24769973754883,-92.99440002441406,925,small_airport
K25J,Lower Chattahoochee Regional Airport,31.701711,-84.827055,457,small_airport
K25M,Ripley Airport,34.722301,-89.015099,465,small_airport
K26,Carrollton Memorial Airport,39.3114013671875,-93.50659942626953,670,small_airport
K26A,Ashland/Lineville Airport,33.284207,-85.80863,1065,small_airport
K26R,Jackson County Airport,29.000999,-96.582001,61,small_airport
K26U,McDermitt State Airport,42.00953,-117.727261,4478,small_airport
K27A,Elbert County Airport Patz Field,34.095423,-82.817581,603,small_airport
K27K,Georgetown-Scott County Regional Airport,38.234405,-84.434702,947,small_airport
K27R,Eldorado Airport,30.8622,-100.611,2448,small_airport
K28J,Palatka Municipal - Lt. Kay Larkin Field,29.6586,-81.688904,48,small_airport
K29,Council Airport,64.89790344240001,-163.70300293,85,small_airport
K29D,Grove City Airport,41.146,-80.167702,1371,small_airport
K29M,Waite Field,42.890722,-83.932223,812,small_airport
K29S,Gardiner Airport,45.0499,-110.747002,5286,small_airport
K2A0,Mark Anton Airport,35.486198,-84.931099,719,small_airport
K2A1,Jamestown Municipal Airport,36.349701,-84.946701,1694,small_airport
K2A2,Holley Mountain Airpark,35.650699615478516,-92.40380096435547,1269,small_airport
K2A5,Causey Airport,35.911800384521484,-79.61759948730469,723,small_airport
K2A6,Holly Grove Municipal Airport,34.582401,-91.165199,176,small_airport
K2B3,Parlin Field,43.3881,-72.189301,784,small_airport
K2B7,Pittsfield Municipal Airport,44.768501,-69.374397,198,small_airport
K2C8,Cavalier Municipal Airport,48.783798,-97.631897,892,small_airport
K2CB,Camp Blanding Army Air Field/NG Airfield,29.952499,-81.979698,196,small_airport
K2D5,Oakes Municipal Airport,46.173778,-98.079507,1335,small_airport
K2E3,Cluck Ranch Airport,36.1772,-101.694,3423,small_airport
K2E5,Dell City Municipal Airport,31.947599,-105.192001,3701,small_airport
K2E7,McLean Gray County Airport,35.246157,-100.546875,2835,small_airport
K2F0,Iraan Municipal Airport,30.9057006836,-101.891998291,2200,small_airport
K2F1,Shamrock Municipal Airport,35.233913,-100.185442,2369,small_airport
K2F4,T Bar Airport,33.176998138427734,-101.81999969482422,3126,small_airport
K2F5,Lamesa Municipal Airport,32.756302,-101.919997,2999,small_airport
K2F7,Commerce Municipal Airport,33.2929,-95.8964,515,small_airport
K2G1,Concord Airpark,41.66699981689453,-81.19719696044922,999,small_airport
K2G2,Jefferson County Airpark,40.359402,-80.700104,1196,small_airport
K2G4,Garrett County Airport,39.580819,-79.33573,2933,small_airport
K2G9,Somerset County Airport,40.039101,-79.014603,2275,small_airport
K2GC,Grays Creek Airport,34.8937,-78.843498,160,small_airport
K2H0,Shelby County Airport,39.410400390599996,-88.8453979492,618,small_airport
K2H2,Jerry Sumners Sr Aurora Municipal Airport,36.962299,-93.695297,1434,small_airport
K2H9,Rolette Airport,48.665298,-99.853203,1620,small_airport
K2I0,Madisonville Regional Airport,37.355868,-87.398205,439,small_airport
K2I3,Rough River State Park Airport,37.610022,-86.507262,577,small_airport
K2IS,Airglades Airport,26.735195,-81.051078,20,small_airport
K2J2,Liberty County Airport,31.784599,-81.641197,98,small_airport
K2J3,Louisville Municipal Airport,32.98649978637695,-82.38569641113281,328,small_airport
K2J5,Millen Airport,32.89360046386719,-81.96540069580078,237,small_airport
K2K3,Stanton County Municipal Airport,37.583039,-101.733002,3324,small_airport
K2K4,Scott Field,34.892601,-99.528198,1643,small_airport
K2K7,Neodesha Municipal Airport,37.43539810180664,-95.64610290527344,841,small_airport
K2K9,Haskell Airport,35.83290100097656,-95.66739654541016,588,small_airport
K2L0,Pineville Municipal Airport,31.341931,-92.4436,100,small_airport
K2M0,Princeton-Caldwell County Airport,37.115116,-87.857144,584,small_airport
K2M2,Lawrenceburg Lawrence County Airport,35.234299,-87.257896,936,small_airport
K2M4,G V Montgomery Airport,32.354867,-89.48824,517,small_airport
K2M8,Charles W. Baker Airport,35.278999,-89.931503,247,small_airport
K2MO,Mount Vernon Municipal Airport,37.06840133666992,-93.88490295410156,1244,small_airport
K2N4,Owasco Airport,42.736493,-76.486065,1378,small_airport
K2O1,Gansner Field,39.943902,-120.945,3415,small_airport
K2O3,Angwin Airport-Parrett Field,38.578499,-122.434998,1875,small_airport
K2O6,Chowchilla Airport,37.11240005493164,-120.24700164794922,242,small_airport
K2O7,Independence Airport,36.815383,-118.204463,3908,small_airport
K2O8,Hinton Municipal Airport,35.50590134,-98.3423996,1587,small_airport
K2R0,Waynesboro Municipal Airport,31.645999908447266,-88.63480377197266,164,small_airport
K2R1,Le Maire Memorial Airport,29.899099349975586,-91.66600036621094,14,small_airport
K2R2,Hendricks County Gordon Graham Field,39.7481,-86.473801,897,small_airport
K2R4,Peter Prince Field,30.6376,-86.993698,82,small_airport
K2R5,St Elmo Airport,30.5019,-88.275101,132,small_airport
K2R6,Bunkie Municipal Airport,30.95669937133789,-92.23410034179688,62,small_airport
K2R7,Franklinton Airport,30.819400787353516,-90.11250305175781,175,small_airport
K2R9,Kenedy Regional Airport,28.825001,-97.865601,289,small_airport
K2RR,River Ranch Resort Airport,27.78219985961914,-81.2052993774414,55,small_airport
K2S4,Warden Airport,46.9654006958,-119.066001892,1276,small_airport
K2S7,Chiloquin State Airport,42.57944,-121.879063,4217,small_airport
K2S8,Wilbur Airport,47.75419998168945,-118.74299621582031,2182,small_airport
K2S9,Willapa Harbor Airport,46.697601,-123.822998,13,small_airport
K2T1,Muleshoe Municipal Airport,34.18510055541992,-102.64099884033203,3779,small_airport
K2V5,Wray Municipal Airport,40.10029984,-102.2409973,3667,small_airport
K2V6,Yuma Municipal Airport,40.104198,-102.712997,4136,small_airport
K2W5,Maryland Airport,38.596572,-77.072639,170,small_airport
K2W6,St. Mary's County Regional Airport,38.315399,-76.550102,142,small_airport
K2Y4,Rockwell City Municipal Airport,42.387612,-94.618444,1217,small_airport
K30,Heber Airpark,43.18339920043945,-73.6332015991211,230,small_airport
K30K,Ingalls Municipal Airport,37.907001,-100.530998,2814,small_airport
K31,Sharon Airport,42.77840042114258,-74.57759857177734,1508,small_airport
K31E,Eagles Nest Airport,39.665401,-74.307899,35,small_airport
K32A,Danville Municipal Airport,35.087002,-93.427498,387,small_airport
K32S,Stevensville Airport,46.525101,-114.053001,3610,small_airport
K33J,Geneva Municipal Airport,31.052579,-85.868715,101,small_airport
K33K,Kinsley Municipal Airport,37.909,-99.403099,2171,small_airport
K33M,Water Valley Municipal Airport,34.16680145263672,-89.68620300292969,270,small_airport
K33N,Delaware Airpark,39.21874,-75.600424,56,small_airport
K33R,Groveton Trinity County Airport,31.08489990234375,-95.16410064697266,340,small_airport
K33S,Pru Field,47.123199462890625,-118.38999938964844,1801,small_airport
K33U,Dutch John Airport,40.917701721191406,-109.39099884033203,6561,small_airport
K33V,Walden Jackson County Airport,40.750401,-106.271004,8153,small_airport
K34,Gardner Municipal Airport,38.80690002441406,-94.9561996459961,1042,small_airport
K34M,Campbell Municipal Airport,36.485901,-90.015772,284,small_airport
K34R,Hallettsville Municipal Airport,29.389999389648438,-96.95610046386719,278,small_airport
K35A,"Union County, Troy Shelton Field",34.687046,-81.64105,610,small_airport
K35D,Padgham Field,42.53099823,-85.82510376,706,small_airport
K35S,Wasco State Airport,45.58940124511719,-120.67400360107422,1503,small_airport
K36K,Kearny County Airport,37.969501,-101.254997,3077,small_airport
K36S,Happy Camp Airport,41.79069900512695,-123.38899993896484,1209,small_airport
K37F,Munday Municipal Airport,33.468029,-99.586121,1473,small_airport
K37K,Higgs Airport,33.926011,-97.296292,690,small_airport
K37T,Calico Rock Izard County Airport,36.164501,-92.144501,733,small_airport
K37V,Arapahoe Municipal Airport,40.341576,-99.907839,2270,small_airport
K38D,Salem Airpark Inc Airport,40.948101,-80.862099,1162,small_airport
K38J,Hemingway Stuckey Airport,33.728599548339844,-79.51599884033203,54,small_airport
K38S,Deer Lodge City County Airport,46.38819885,-112.7659988,4693,small_airport
K38U,Wayne Wonderland Airport,38.36249923706055,-111.59600067138672,7023,small_airport
K39N,Princeton Airport,40.3992004395,-74.6588973999,128,small_airport
K3A2,New Tazewell Municipal Airport,36.408919,-83.557076,1179,small_airport
K3A4,Greensboro Executive Airport,35.942001,-79.685527,737,small_airport
K3A7,Eutaw Municipal Airport,32.820346,-87.865065,170,small_airport
K3AK,Dry Bay Airport,59.164434,-138.489398,43,small_airport
K3AU,Augusta Municipal Airport,37.6716,-97.077904,1328,small_airport
K3B0,Southbridge Municipal Airport,42.10089874267578,-72.03839874267578,699,small_airport
K3B1,Greenville Municipal Airport,45.463001,-69.551598,1401,small_airport
K3B4,Seacoast Airfield,43.14316,-70.773566,130,small_airport
K3B5,Twitchell Airport,44.1889,-70.232903,356,small_airport
K3BS,Jack Barstow Airport,43.663054,-84.258606,635,small_airport
K3C8,Calverton Executive Airpark,40.9151,-72.791901,75,small_airport
K3CK,Lake in the Hills Airport,42.206799,-88.322998,888,small_airport
K3CM,James Clements Municipal Airport,43.5469017,-83.89550018,585,small_airport
K3CU,Cable Union Airport,46.194199,-91.246399,1360,small_airport
K3DW,Downtown Airport,37.222705,-93.248348,1374,small_airport
K3E0,Miami Roberts County Airport,35.71390151977539,-100.60299682617188,2720,small_airport
K3F2,Cisco Municipal Airport,32.415038,-98.996944,1612,small_airport
K3F3,C E 'Rusty' Williams Airport,32.0735015869,-93.7655029297,324,small_airport
K3F4,Vivian Airport,32.861301,-94.010201,260,small_airport
K3F6,Dan E Richards Municipal Airport,34.027599,-100.281998,1860,small_airport
K3F7,Jones Memorial Airport,35.80690002441406,-96.4218978881836,851,small_airport
K3F9,Mineola Wisener Field,32.676701,-95.510803,429,small_airport
K3FU,Faulkton Municipal Airport,45.030343,-99.112592,1569,small_airport
K3G1,Erie County Airport,42.044242,-79.85389,1450,small_airport
K3G2,Grygla Municipal Airport - Mel Wilkens Field,48.293379,-95.626145,1177,small_airport
K3G3,Wadsworth Municipal Airport,41.003101,-81.7565,974,small_airport
K3G4,Ashland County Airport,40.903,-82.2556,1206,small_airport
K3G5,Dawson Army Air Field,39.443698,-79.675231,1265,small_airport
K3G6,Tri City Airport,40.905998,-81,1188,small_airport
K3GM,Grand Haven Memorial Airpark,43.034,-86.198196,604,small_airport
K3GV,East Kansas City Airport,39.015149,-94.215252,835,small_airport
K3H4,Hillsboro Municipal Airport,47.359402,-97.060402,905,small_airport
K3HO,Hobart Sky Ranch Airport,41.55419921875,-87.26249694824219,644,small_airport
K3I2,Mason County Airport,38.9146,-82.098602,643,small_airport
K3I3,Sky King Airport,39.547223,-87.378623,496,small_airport
K3I4,Richwood Municipal Airport,38.258351,-80.650783,2486,small_airport
K3I7,Dayton-Phillipsburg Airport,39.913305,-84.400398,1031,small_airport
K3J0,Hampton County Airport,32.8665,-81.081001,113,small_airport
K3J1,Ridgeland-Claude Dean Airport,32.492699,-80.992302,79,small_airport
K3J7,Greene County Regional Airport,33.598008,-83.138158,677,small_airport
K3JC,Freeman Field,39.044452,-96.844566,1101,small_airport
K3K3,Syracuse Hamilton County Municipal Airport,37.997113,-101.748218,3322,small_airport
K3K4,Borth Field,37.307608,-100.476314,2707,small_airport
K3K6,St Louis Metro-East Airport/Shafer Field,38.732899,-89.806602,477,small_airport
K3K7,Mark Hoard Memorial Airport,38.457001,-101.352997,3303,small_airport
K3K8,Comanche County Airport,37.22809982299805,-99.33090209960938,2085,small_airport
K3L2,Sky Ranch Airport,35.7952995300293,-115.62699890136719,2599,small_airport
K3LF,Litchfield Municipal Airport,39.162498,-89.674599,690,small_airport
